drel,Campaign,d13C
8.63510416666667,ambient,-7.411686665467989
8.71842592592593,ambient,NA
8.76008101851852,ambient,NA
8.80175925925926,ambient,NA
8.8434375,ambient,NA
8.88508101851852,ambient,NA
8.92675925925926,ambient,NA
8.96840277777778,ambient,-7.259575253783419
9.01009259259259,ambient,-5.950580339266221
9.05173611111111,ambient,-4.032994871109821
9.09341435185185,ambient,-3.1565505120837862
9.13508101851852,ambient,-3.429552952376687
9.17674768518519,ambient,-4.082962651368479
9.21842592592593,ambient,-4.261470660338665
9.26009259259259,ambient,-4.7159589451789525
9.30174768518519,ambient,-4.623243725804217
9.3434375,ambient,-5.243736749815792
9.38509259259259,ambient,-5.2241212423809245
9.42675925925926,ambient,-5.724428136547514
9.46842592592593,ambient,-6.52436004375795
9.51009259259259,ambient,-7.205925461708764
9.55178240740741,ambient,-7.194647572287558
9.59342592592593,ambient,-7.068347965822028
9.63510416666667,ambient,-5.7148311377490595
9.71842592592593,ambient,NA
9.76008101851852,ambient,NA
9.80175925925926,ambient,NA
9.8434375,ambient,NA
9.88509259259259,ambient,NA
9.92675925925926,ambient,NA
9.96841435185185,ambient,NA
10.0100694444444,ambient,NA
10.0517476851852,ambient,NA
10.0920138888889,ambient,NA
10.1204166666667,ambient,NA
10.1409143518519,ambient,NA
10.1767361111111,ambient,-2.2306095759170024
10.2184143518519,ambient,-2.802896525572425
10.2601041666667,ambient,-2.1464016686122758
10.3017476851852,ambient,-4.055042072269032
10.3434143518519,ambient,-5.882914079130426
10.3850925925926,ambient,-6.305729848056451
10.4267476851852,ambient,-7.4074430784670255
10.4684259259259,ambient,-8.312037499931833
10.5101041666667,ambient,-8.729800264312226
10.5517592592593,ambient,-8.883676097929449
10.5934027777778,ambient,-8.47709894866476
10.6350810185185,ambient,-8.036272694799827
10.7184143518519,ambient,NA
10.7600810185185,ambient,NA
10.8017476851852,ambient,NA
10.8434259259259,ambient,NA
10.8850925925926,ambient,NA
10.9267476851852,ambient,NA
10.9684143518519,ambient,-5.219441747894117
11.0100925925926,ambient,-3.7591096082149225
11.0517361111111,ambient,-2.6735260062527555
11.1350925925926,ambient,-4.713337844984318
11.2184259259259,ambient,-5.589560747055412
11.2600694444444,ambient,-6.683975528819545
11.3017592592593,ambient,-7.171744343768799
11.3434143518519,ambient,-7.578875769970912
11.3850810185185,ambient,-7.921632564086128
11.4267476851852,ambient,-8.81570031816651
11.4684143518519,ambient,-9.612260800433997
11.5100694444444,ambient,-9.987477919771706
11.5517476851852,ambient,-10.169077380835379
11.5934259259259,ambient,-10.164897800273991
11.6350810185185,ambient,-10.144980338459934
11.7184027777778,ambient,NA
11.7600925925926,ambient,NA
11.8017708333333,ambient,NA
11.8434143518519,ambient,NA
11.8850694444444,ambient,NA
11.9267361111111,ambient,NA
11.9684143518519,ambient,-8.696471246553159
12.0100694444444,ambient,-7.496488414771818
12.0517361111111,ambient,-5.795454554998418
12.0934259259259,ambient,-5.113931467486241
12.1350925925926,ambient,-5.038521968779484
12.1767476851852,ambient,-5.3301514220364865
12.2184143518519,ambient,-5.67095333578758
12.2600810185185,ambient,-5.641171441842124
12.3017476851852,ambient,-6.012339082599233
12.3434259259259,ambient,-5.9846293723043935
12.3850925925926,ambient,-6.932504288450813
12.4267708333333,ambient,-7.7455580521947915
12.4684375,ambient,-8.00855783457583
12.5100810185185,ambient,-8.661219091747398
12.5517592592593,ambient,-9.156617134877607
12.5934259259259,ambient,-9.323590006250011
12.6351041666667,ambient,-9.462276171192752
12.7184027777778,ambient,NA
12.7600925925926,ambient,NA
12.8017592592593,ambient,NA
12.8434143518519,ambient,NA
12.8850925925926,ambient,NA
12.9267592592593,ambient,NA
12.9684259259259,ambient,-9.018801474874092
13.0100694444444,ambient,-7.9072957992529
13.0517476851852,ambient,-6.650880888251905
13.0934259259259,ambient,-5.864583121044989
13.1350925925926,ambient,-5.11854242043591
13.1767476851852,ambient,-5.438104237162413
13.2184143518519,ambient,-5.439883125654131
13.2600925925926,ambient,-5.95650993362111
13.3017708333333,ambient,-6.585571287944562
13.3434027777778,ambient,-6.820154087324745
13.3850810185185,ambient,-7.291815950413481
13.4267361111111,ambient,-8.410339614276257
13.4684259259259,ambient,-9.315457091476322
13.5100925925926,ambient,-9.818309586537374
13.5517361111111,ambient,-9.911691879348204
13.5934143518519,ambient,-9.888599236409947
13.6350810185185,ambient,-9.854623092165347
13.7184259259259,ambient,NA
13.7600925925926,ambient,NA
13.8017476851852,ambient,NA
13.8434259259259,ambient,NA
13.8850925925926,ambient,NA
13.9267476851852,ambient,NA
13.9684259259259,ambient,-8.886932582729353
14.0100925925926,ambient,-7.315847302843949
14.0517361111111,ambient,-6.377712832971536
14.0934143518519,ambient,-6.2456739234934755
14.1350925925926,ambient,-6.382440168440905
14.1767824074074,ambient,-6.77742649379462
14.2184259259259,ambient,-6.886081775472679
14.2600810185185,ambient,-6.882026967520014
14.3017476851852,ambient,-6.767398335148377
14.3434259259259,ambient,-6.413210250606271
14.3850810185185,ambient,-6.571760013717535
14.4267476851852,ambient,-7.1274099607298105
14.4684259259259,ambient,-8.316898171286507
14.5100694444444,ambient,-8.910872283557381
14.5517592592593,ambient,-9.314373423291046
14.5934259259259,ambient,-9.6827408520303
14.6350925925926,ambient,-9.60959301864231
14.7184143518519,ambient,NA
14.7600925925926,ambient,NA
14.8017361111111,ambient,NA
14.8434143518519,ambient,NA
14.8850810185185,ambient,NA
14.9267361111111,ambient,NA
14.9684259259259,ambient,-8.741060285914537
15.0100810185185,ambient,-7.285128509207435
15.0517592592593,ambient,-6.326719773149728
15.0934143518519,ambient,-6.0722171925636115
15.1351041666667,ambient,-6.29641393026205
15.1767708333333,ambient,-6.494855900313922
15.2184375,ambient,-6.535536373400507
15.2600810185185,ambient,-6.542769382244906
15.3017592592593,ambient,-6.53930816133931
15.3434259259259,ambient,-6.996271575100776
15.3850925925926,ambient,-7.275020052559038
15.4267592592593,ambient,-8.300535613145204
15.4684259259259,ambient,-8.804625855303275
